Ingredient1,Ingredient2,Rank
egg,vinegar,15
butter,potato starch,15
butter,zest,15
butter,floury potatoes,15
sugar,cinnamon stick,15
sugar,peppercorns,15
sugar,ginger,15
vegetables,bay leaves,15
vegetables,black pepper,15
vegetables,pork,15
carrots,flour,15
oil,flour,15
broth,bay leaf,15
broth,thyme,15
broth,pork,15
broth,mutton,15
peppercorns,ginger,15
peppercorns,white vinegar,15
lemon,whole fish,15
lemon,baking powder,15
flour,ginger,15
cheese,onion,15
meat stock,beef,15
onion,white vinegar,15
bay leaves,allspice berries,15
mustard,white vinegar,15
coarse rye flour,coarse salt,15
coarse salt,rye flour,15
pork,mutton,15
beef,mutton,15
rye flour,wheat flour,15
egg,white vinegar,14
egg,beef,14
cream,egg yolks,14
cream,dill,14
hard cheese,butter,14
hard cheese,milk,14
butter,bay leaves,14
butter,garlic,14
butter,whole fish,14
butter,raisins,14
butter,mutton,14
milk,potato starch,14
milk,zest,14
milk,coarse salt,14
milk,beef,14
sugar,egg yolks,14
sugar,coarse salt,14
ground cinnamon,flour,14
cinnamon stick,cassia cinnamon,14
cinnamon stick,cassia cinnamon stick,14
potato starch,flour,14
zest,vanilla sugar,14
zest,baking powder,14
vegetables,beef,14
carrots,bay leaves,14
carrots,pork,14
oil,vinegar,14
broth,vinegar,14
plain flour,baking powder,14
plain flour,wheat flour,14
lemon,white vinegar,14
vinegar,dill,14
vinegar,cooked fish,14
flour,white vinegar,14
flour,raisins,14
flour,floury potatoes,14
flour,cooked fish,14
onion,mustard,14
onion,cooked fish,14
cassia cinnamon,cassia cinnamon stick,14
white fish,cod,14
baking powder,cardamom,14
wheat flour,pastry,14
egg,pork,13
egg,icing sugar,13
cream,meat stock,13
cream,minced beef,13
cream,chives,13
butter,lamb,13
butter,allspice berries,13
butter,rye dough,13
butter,brown cheese,13
milk,raisins,13
sugar,potatoes,13
sugar,cassia cinnamon stick,13
golden syrup,rye flour,13
golden syrup,wheat flour,13
zest,wheat flour,13
vegetables,meat stock,13
vegetables,leek,13
vegetables,cloves,13
vegetables,white vinegar,13
nutmeg,flour,13
peppercorns,thyme,13
lemon,cooked fish,13
vinegar,parsley,13
flour,cloves,13
flour,icing sugar,13
lamb,lamb shoulder,13
onion,bay leaves,13
onion,garlic,13
bay leaves,mustard,13
parsley,mustard,13
parsley,chives,13
allspice berries,beef,13
mustard,beef,13
pickling liquor,pickling liquor,13
dill,white vinegar,13
whole fish,cooked fish,13
yeast,rye flour,13
yeast,rye dough,13
egg,dill,12
egg,pastry,12
egg,egg whites,12
cream,bay leaf,12
butter,mushroom soy sauce,12
milk,broth,12
milk,ginger,12
sugar,onion,12
sugar,dill,12
sugar,pork,12
golden syrup,yeast,12
golden syrup,bread flour,12
egg yolks,flour,12
sugar juice,zest,12
vegetables,flour,12
vegetables,mustard,12
carrots,thyme,12
carrots,celeriac,12
carrots,beef,12
broth,peppercorns,12
broth,parsley,12
broth,cloves,12
broth,ginger,12
plain flour,white fish,12
pork stock,pork,12
peppercorns,coarse salt,12
bay leaf,allspice berries,12
bay leaf,white vinegar,12
lemon,breadcrumbs,12
lemon,wheat flour,12
lemon,cardamom,12
vinegar,allspice berries,12
vinegar,whole fish,12
vinegar,coarse salt,12
flour,lamb,12
flour,meat stock,12
flour,mutton,12
cheese,wheat flour,12
onion,black pepper,12
onion,allspice berries,12
onion,celery,12
onion,mutton,12
parsley,potatoes,12
allspice berries,pork,12
lard,lard,12
potatoes,mutton,12
celery,celeriac,12
salmon,white fish,12
pork,pork back fat,12
wheat flour,rye dough,12
egg,oil,11
egg,potatoes,11
egg,yeast,11
cream,hard cheese,11
cream,garlic,11
cream,cooked fish,11
cream,white bread,11
cream,pastry,11
butter,cabbage,11
butter,cassia cinnamon,11
butter,horseradish,11
butter,cod,11
butter,cabbage,11
butter,pancakes,11
butter,pearl sugar,11
milk,oil,11
milk,minced beef,11
sugar,rye flour,11
sugar,chopped almonds,11
sugar,egg whites,11
golden syrup,rye dough,11
potato starch,vanilla sugar,11
vanilla sugar,cardamom,11
vegetables,lamb,11
vegetables,allspice berries,11
carrots,mustard,11
carrots,mutton,11
oil,white vinegar,11
broth,pork stock,11
nutmeg,plain flour,11
nutmeg,beef,11
plain flour,lemon,11
plain flour,potatoes,11
plain flour,beef,11
peppercorns,white fish,11
bay leaf,cloves,11
lemon,onion,11
vinegar,bay leaves,11
vinegar,cloves,11
flour,bacon,11
flour,blood,11
flour,salted butter,11
cheese,potatoes,11
lamb,onion,11
lamb,pork,11
lamb,beef,11
onion,breadcrumbs,11
onion,whole fish,11
bay leaves,cloves,11
bay leaves,coarse salt,11
black pepper,cloves,11
black pepper,pork,11
leek,celery,11
cloves,pork,11
chives,white fish,11
breadcrumbs,white fish,11
dill,white fish,11
celery,thyme,11
white fish,fish bones,11
cod roe,cod,11
cod,cooked fish,11
lamb shoulder,mutton,11
wheat flour,icing sugar,11
egg,zest,10
egg,broth,10
egg,mustard,10
cream,golden syrup,10
cream,mustard,10
cream,cassia cinnamon,10
cream,chicken,10
hard cheese,flour,10
butter,leek,10
butter,meat patties,10
butter,dill fronds,10
caraway,caraway,10
milk,cinnamon stick,10
milk,brown sugar,10
milk,rye dough,10
milk,cassia cinnamon stick,10
milk,brown cheese,10
sugar,vegetables,10
sugar,carrots,10
sugar,bread flour,10
sugar,orange,10
sugar,baker ammonia,10
sugar,cocoa powder,10
sugar,ground almonds,10
Attika vinegar,bay leaf,10
ground cinnamon,wheat flour,10
golden syrup,ginger,10
potato starch,beef,10
zest,cardamom,10
vegetables,lemon,10
vegetables,celeriac,10
vegetables,parsley butter,10
vegetables,mutton,10
carrots,black pepper,10
carrots,allspice berries,10
carrots,parsley butter,10
oil,lemon,10
oil,mustard,10
broth,bay leaves,10
broth,celery,10
broth,white vinegar,10
plain flour,meat stock,10
plain flour,breadcrumbs,10
plain flour,pork,10
plain flour,bread flour,10
peppercorns,black pepper,10
lemon,parsley,10
vinegar,thyme,10
vinegar,mustard sauce,10
flour,parsley,10
flour,black pepper,10
flour,baker ammonia,10
flour,pearl sugar,10
onion,cloves,10
parsley,celery,10
parsley,whole fish,10
parsley,white fish,10
black pepper,beef,10
allspice berries,mustard,10
allspice berries,cloves,10
allspice berries,white vinegar,10
mustard,potatoes,10
coarse salt,pork,10
mustard sauce,brown mustard,10
salted cod,cod,10
baking powder,icing sugar,10
roux,roux,10
egg,carrots,9
egg,chives,9
egg,white bread,9
cream,peppercorns,9
cream,lamb,9
cream,thyme,9
cream,pancakes,9
cream,salted butter,9
hard cheese,brown cheese,9
butter,Attika vinegar,9
butter,bacon,9
butter,coarse rye flour,9
butter,salmon,9
butter,chicken,9
butter,beer,9
butter,liver,9
butter,baker ammonia,9
butter,chopped almonds,9
butter,ground almonds,9
butter,sugar syrup,9
butter,brown mustard,9
milk,carrots,9
milk,parsley,9
milk,short grain rice,9
milk,coarse rye flour,9
milk,cooked fish,9
milk,rice porridge,9
milk,pearl sugar,9
milk,icing sugar,9
milk,liquid rennet,9
sugar,golden syrup,9
sugar,mustard,9
sugar,white fish,9
sugar,beef,9
sugar,rolled oats,9
sugar,chocolate icing,9
sugar,cordial,9
Attika vinegar,peppercorns,9
Attika vinegar,onion,9
ground cinnamon,brown sugar,9
golden syrup,broth,9
golden syrup,sugar syrup,9
potato starch,nutmeg,9
egg yolks,plain flour,9
vegetables,cabbage,9
vegetables,whole fish,9
vegetables,cabbage,9
firm potatoes,flour,9
carrots,plain flour,9
carrots,lamb,9
carrots,leek,9
carrots,garlic,9
carrots,white fish,9
broth,lamb,9
broth,black pepper,9
broth,allspice berries,9
nutmeg,cheese,9
nutmeg,pork,9
plain flour,vinegar,9
plain flour,thyme,9
plain flour,cooked fish,9
pork stock,meat stock,9
peppercorns,flour,9
brown sugar,wheat flour,9
lemon,salmon,9
flour,minced beef,9
flour,mushroom soy sauce,9
flour,thyme,9
flour,cod,9
flour,white bread,9
flour,sugar syrup,9
flour,brown cheese,9
cheese,mustard,9
lamb,potatoes,9
meat stock,pork,9
meat stock,mutton,9
onion,leek,9
onion,pearl barley,9
onion,meat patties,9
onion,pearl barley,9
bay leaves,parsley,9
bay leaves,thyme,9
bay leaves,beef,9
dried marjoram,dried marjoram,9
black pepper,mustard,9
black pepper,potatoes,9
black pepper,mutton,9
allspice berries,coarse salt,9
leek,thyme,9
minced beef,mutton,9
mustard,coarse salt,9
cloves,beef,9
cassia cinnamon,cardamom,9
potatoes,dill,9
potatoes,coarse salt,9
ginger,pork,9
ginger,beef,9
thyme,pork,9
pike,white fish,9
pearl barley,pork,9
pork,lean pork,9
pork,rye flour,9
pork,pearl barley,9
bread flour,white bread,9
white icing,white icing,9
chocolate icing,icing sugar,9
egg,hard cheese,8
egg,vegetables,8
egg,nutmeg,8
egg,bay leaf,8
egg,parsley,8
egg,black pepper,8
egg,minced beef,8
cream,Attika vinegar,8
cream,allspice berries,8
cream,parsley butter,8
cream,dill fronds,8
butter,sugar juice,8
butter,firm potatoes,8
butter,cauliflower,8
butter,chives,8
butter,celery,8
butter,mustard sauce,8
butter,pearl barley,8
butter,pork shoulder,8
butter,pearl barley,8
milk,garlic,8
milk,floury potatoes,8
sugar,bay leaf,8
sugar,allspice berries,8
Attika vinegar,vegetables,8
Attika vinegar,cloves,8
ground cinnamon,cardamom,8
potato starch,pork,8
egg yolks,vinegar,8
egg yolks,white vinegar,8
vanilla sugar,breadcrumbs,8
vegetables,plain flour,8
vegetables,broccoli,8
vegetables,chives,8
vegetables,garlic,8
vegetables,fresh peas,8
vegetables,cooked fish,8
carrots,bay leaf,8
carrots,cloves,8
carrots,ginger,8
carrots,coarse salt,8
carrots,pork shoulder,8
oil,plain flour,8
oil,white fish,8
oil,wheat flour,8
broth,nutmeg,8
broth,leek,8
broth,minced beef,8
broth,parsley butter,8
broth,tasty stock,8
nutmeg,minced beef,8
nutmeg,ginger,8
nutmeg,mutton,8
plain flour,bay leaf,8
