Ing1,Ing2,Ing3,Ing4,Rank
butter,plain flour,onion,brown cheese,3
butter,vinegar,white vinegar,sugar juice,3
butter,vinegar,white vinegar,meat stock,3
butter,vinegar,white vinegar,coarse rye flour,3
butter,vinegar,white vinegar,beef,3
butter,vinegar,white vinegar,rye flour,3
butter,breadcrumbs,baking powder,cocoa powder,3
butter,breadcrumbs,wheat flour,cardamom,3
butter,breadcrumbs,wheat flour,cocoa powder,3
milk,flour,cardamom,cheese,3
sugar,ground cinnamon,cassia cinnamon,cloves,3
sugar,ground cinnamon,cassia cinnamon,ginger,3
sugar,ground cinnamon,cassia cinnamon,raisins,3
sugar,ground cinnamon,cassia cinnamon,bread flour,3
sugar,vanilla sugar,wheat flour,potato starch,3
sugar,vanilla sugar,wheat flour,soft fruit,3
sugar,breadcrumbs,baking powder,cocoa powder,3
sugar,breadcrumbs,wheat flour,cardamom,3
sugar,breadcrumbs,wheat flour,cocoa powder,3
Attika vinegar,vinegar,white vinegar,golden syrup,3
Attika vinegar,vinegar,white vinegar,plain flour,3
Attika vinegar,vinegar,white vinegar,bay leaves,3
Attika vinegar,vinegar,white vinegar,leek,3
Attika vinegar,vinegar,white vinegar,pickling liquor,3
Attika vinegar,vinegar,white vinegar,beef,3
Attika vinegar,vinegar,white vinegar,brown mustard,3
Attika vinegar,vinegar,white vinegar,pickling liquor,3
vanilla sugar,flour,wheat flour,potato starch,3
vanilla sugar,flour,wheat flour,soft fruit,3
flour,breadcrumbs,baking powder,cocoa powder,3
flour,breadcrumbs,wheat flour,cardamom,3
flour,breadcrumbs,wheat flour,cocoa powder,3
minced beef,pork,beef,sugar,3
minced beef,pork,beef,golden syrup,3
minced beef,pork,beef,cabbage,3
minced beef,pork,beef,meat stock,3
minced beef,pork,beef,mustard,3
minced beef,pork,beef,cloves,3
minced beef,pork,beef,ginger,3
minced beef,pork,beef,cabbage,3
minced beef,pork,beef,fried salt pork,3
minced beef,pork,beef,salt pork fried,3
egg,butter,cardamom,ground cinnamon,3
egg,butter,cardamom,sweet wheat bun dough,3
egg,butter,cardamom,pearl sugar,3
egg,butter,cardamom,icing sugar,3
egg,sugar,vanilla sugar,pastry,3
egg,sugar,vanilla sugar,egg whites,3
egg,sugar,vanilla sugar,soft fruit,3
egg,sugar,cardamom,ground cinnamon,3
egg,sugar,cardamom,cheese,3
egg,sugar,cardamom,sweet wheat bun dough,3
egg,sugar,cardamom,pearl sugar,3
egg,sugar,cardamom,icing sugar,3
cream,butter,vegetables,egg,3
cream,butter,vegetables,hard cheese,3
cream,butter,vegetables,plain flour,3
cream,butter,vegetables,peppercorns,3
cream,butter,vegetables,minced beef,3
cream,butter,vegetables,cloves,3
cream,butter,vegetables,broccoli,3
cream,butter,vegetables,dill,3
cream,butter,vegetables,garlic,3
cream,butter,vegetables,thyme,3
cream,butter,vegetables,lamb shoulder,3
cream,butter,vegetables,mutton,3
cream,butter,baking powder,lemon,3
cream,butter,baking powder,soft fruit,3
cream,sugar,baking powder,plain flour,3
cream,sugar,baking powder,icing sugar,3
cream,sugar,baking powder,pastry,3
cream,sugar,baking powder,soft fruit,3
cream,flour,baking powder,plain flour,3
cream,flour,baking powder,lemon,3
cream,flour,baking powder,pastry,3
cream,flour,baking powder,soft fruit,3
butter,milk,cardamom,lemon,3
butter,milk,cardamom,cassia cinnamon,3
butter,milk,cardamom,raisins,3
butter,milk,cardamom,icing sugar,3
butter,sugar,ground cinnamon,cream,3
butter,sugar,ground cinnamon,cinnamon stick,3
butter,sugar,ground cinnamon,golden syrup,3
butter,sugar,ground cinnamon,breadcrumbs,3
butter,sugar,ground cinnamon,bread flour,3
butter,sugar,ground cinnamon,baker ammonia,3
butter,sugar,ground cinnamon,bicarbonate of soda,3
butter,sugar,ground cinnamon,sugar syrup,3
butter,sugar,icing sugar,egg yolks,3
butter,sugar,icing sugar,vanilla sugar,3
butter,sugar,icing sugar,lemon,3
butter,sugar,icing sugar,pastry,3
butter,sugar,icing sugar,dark chocolate,3
butter,sugar,icing sugar,sugar syrup,3
butter,golden syrup,flour,hard cheese,3
butter,golden syrup,flour,ground cinnamon,3
butter,golden syrup,flour,broth,3
butter,golden syrup,flour,aniseeds,3
butter,golden syrup,flour,cheese,3
butter,golden syrup,flour,orange,3
butter,golden syrup,flour,baker ammonia,3
butter,golden syrup,flour,cardamom,3
butter,golden syrup,flour,bicarbonate of soda,3
butter,meat stock,onion,milk,3
butter,meat stock,onion,egg yolks,3
butter,meat stock,onion,pork stock,3
butter,meat stock,onion,cabbage,3
butter,meat stock,onion,lemon,3
butter,meat stock,onion,vinegar,3
butter,meat stock,onion,cheese,3
butter,meat stock,onion,parsley,3
butter,meat stock,onion,black pepper,3
butter,meat stock,onion,vegetable stock,3
butter,meat stock,onion,potatoes,3
butter,meat stock,onion,breadcrumbs,3
butter,meat stock,onion,celery,3
butter,meat stock,onion,white vinegar,3
butter,meat stock,onion,pork,3
butter,meat stock,onion,cabbage,3
butter,meat stock,onion,lamb shoulder,3
butter,meat stock,onion,parsley butter,3
milk,sugar,vanilla sugar,pastry,3
milk,yeast,wheat flour,caraway,3
milk,yeast,wheat flour,fennel,3
milk,yeast,wheat flour,caraway,3
sugar,sugar juice,lemon,egg yolks,3
sugar,sugar juice,lemon,apples,3
sugar,sugar juice,lemon,breadcrumbs,3
sugar,sugar juice,lemon,apple juice,3
sugar,zest,flour,vinegar,3
sugar,vanilla sugar,lemon,potato starch,3
sugar,vanilla sugar,lemon,cassia cinnamon,3
sugar,vanilla sugar,lemon,raisins,3
sugar,lemon,flour,cream,3
sugar,lemon,flour,vinegar,3
sugar,lemon,flour,icing sugar,3
carrots,vinegar,white vinegar,egg,3
carrots,vinegar,white vinegar,sugar juice,3
carrots,vinegar,white vinegar,pickling liquor,3
carrots,vinegar,white vinegar,celery,3
carrots,vinegar,white vinegar,whole fish,3
carrots,vinegar,white vinegar,coarse rye flour,3
carrots,vinegar,white vinegar,coarse salt,3
carrots,vinegar,white vinegar,cooked fish,3
carrots,vinegar,white vinegar,rye flour,3
carrots,vinegar,white vinegar,pickling liquor,3
broth,plain flour,flour,sugar,3
broth,plain flour,flour,mushroom soy sauce,3
broth,plain flour,flour,bacon,3
broth,plain flour,flour,celery,3
broth,plain flour,flour,parsley butter,3
flour,coarse rye flour,rye flour,egg,3
flour,coarse rye flour,rye flour,cream,3
flour,coarse rye flour,rye flour,golden syrup,3
flour,coarse rye flour,rye flour,carrots,3
flour,coarse rye flour,rye flour,vinegar,3
flour,coarse rye flour,rye flour,cheese,3
flour,coarse rye flour,rye flour,parsley,3
flour,coarse rye flour,rye flour,mustard,3
flour,coarse rye flour,rye flour,white vinegar,3
flour,coarse rye flour,rye flour,parsley butter,3
flour,coarse rye flour,rye flour,wheat flour,3
flour,bread flour,rye dough,caraway,3
flour,bread flour,rye dough,buttermilk,3
flour,bread flour,rye dough,dry flatbread,3
flour,bread flour,rye dough,broth,3
flour,bread flour,rye dough,aniseeds,3
flour,bread flour,rye dough,cheese,3
flour,bread flour,rye dough,caraway,3
onion,minced beef,beef,potato starch,3
onion,minced beef,beef,vegetables,3
onion,minced beef,beef,cabbage,3
onion,minced beef,beef,lamb,3
onion,minced beef,beef,garlic,3
onion,minced beef,beef,cabbage,3
onion,minced beef,beef,meat patties,3
onion,minced beef,beef,fried salt pork,3
onion,minced beef,beef,salt pork fried,3
onion,minced beef,beef,white bread,3
breadcrumbs,baking powder,wheat flour,cocoa powder,3
pork belly,pork belly,pork,milk,3
pork belly,pork belly,pork,carrots,3
pork belly,pork belly,pork,plain flour,3
pork belly,pork belly,pork,flour,3
pork belly,pork belly,pork,bay leaves,3
pork belly,pork belly,pork,yellow split peas,3
pork belly,pork belly,pork,beef,3
pork belly,pork belly,pork,mutton,3
bread flour,rye flour,rye dough,caraway,3
bread flour,rye flour,rye dough,buttermilk,3
bread flour,rye flour,rye dough,dry flatbread,3
bread flour,rye flour,rye dough,broth,3
bread flour,rye flour,rye dough,aniseeds,3
bread flour,rye flour,rye dough,cheese,3
bread flour,rye flour,rye dough,caraway,3
egg,butter,plain flour,peppercorns,3
egg,butter,plain flour,cheese,3
egg,butter,plain flour,meat stock,3
egg,butter,plain flour,leek,3
egg,butter,plain flour,breadcrumbs,3
egg,butter,plain flour,dill,3
egg,butter,plain flour,white fish,3
egg,butter,plain flour,baking powder,3
egg,butter,plain flour,yeast,3
egg,butter,plain flour,dill fronds,3
egg,butter,lemon,egg yolks,3
egg,butter,lemon,broth,3
egg,butter,lemon,meat stock,3
egg,butter,lemon,onion,3
egg,butter,onion,hard cheese,3
egg,butter,onion,lemon,3
egg,butter,onion,vinegar,3
egg,butter,onion,cheese,3
egg,butter,onion,black pepper,3
egg,butter,onion,breadcrumbs,3
egg,butter,onion,white vinegar,3
egg,butter,onion,white fish,3
egg,butter,onion,hash,3
egg,butter,onion,white bread,3
egg,butter,baking powder,plain flour,3
egg,butter,baking powder,brown sugar,3
egg,butter,baking powder,baker ammonia,3
egg,butter,baking powder,egg whites,3
egg,butter,baking powder,soft fruit,3
egg,milk,cheese,carrots,3
egg,milk,cheese,onion,3
egg,milk,cheese,cauliflower,3
egg,milk,cheese,dill,3
egg,milk,cheese,white fish,3
egg,milk,cheese,rye flour,3
egg,milk,cheese,cardamom,3
egg,flour,baking powder,plain flour,3
egg,flour,baking powder,brown sugar,3
egg,flour,baking powder,baker ammonia,3
egg,flour,baking powder,icing sugar,3
egg,flour,baking powder,pastry,3
egg,flour,baking powder,soft fruit,3
cream,milk,plain flour,nutmeg,3
cream,milk,plain flour,meat stock,3
cream,milk,plain flour,minced beef,3
cream,milk,plain flour,baking powder,3
cream,milk,plain flour,wheat flour,3
cream,broth,flour,bay leaf,3
cream,broth,flour,parsley,3
cream,broth,flour,potatoes,3
cream,broth,flour,ginger,3
cream,broth,flour,thyme,3
cream,broth,flour,lamb stock,3
cream,broth,flour,tasty stock,3
cream,broth,onion,vinegar,3
cream,broth,onion,cheese,3
cream,broth,onion,lamb,3
cream,broth,onion,minced beef,3
cream,broth,onion,potatoes,3
cream,broth,onion,breadcrumbs,3
cream,broth,onion,white vinegar,3
cream,broth,onion,lamb stock,3
cream,broth,onion,mutton,3
butter,milk,potatoes,cream,3
butter,milk,potatoes,hard cheese,3
butter,milk,potatoes,dill,3
butter,milk,potatoes,salted butter,3
butter,milk,potatoes,dill fronds,3
butter,milk,potatoes,brown cheese,3
butter,sugar,lemon,oil,3
butter,sugar,lemon,icing sugar,3
butter,vanilla sugar,wheat flour,potato starch,3
butter,vanilla sugar,wheat flour,pastry,3
butter,vanilla sugar,wheat flour,soft fruit,3
butter,vegetables,broth,milk,3
butter,vegetables,broth,Attika vinegar,3
butter,vegetables,broth,cheese,3
butter,vegetables,broth,bay leaves,3
butter,vegetables,broth,black pepper,3
butter,vegetables,broth,leek,3
butter,vegetables,broth,minced beef,3
butter,vegetables,broth,cauliflower,3
butter,vegetables,broth,white vinegar,3
butter,vegetables,broth,braising beef,3
butter,onion,potatoes,meat stock,3
butter,onion,potatoes,parsley,3
butter,onion,potatoes,bacon,3
butter,onion,potatoes,parsley butter,3
butter,onion,potatoes,salted butter,3
butter,potatoes,floury potatoes,rye flour,3
butter,potatoes,floury potatoes,salted butter,3
butter,bread flour,wheat flour,caraway,3
butter,bread flour,wheat flour,ground cinnamon,3
butter,bread flour,wheat flour,aniseeds,3
butter,bread flour,wheat flour,cheese,3
butter,bread flour,wheat flour,cassia cinnamon,3
butter,bread flour,wheat flour,baking powder,3
butter,bread flour,wheat flour,caraway,3
butter,bread flour,wheat flour,cardamom,3
butter,bread flour,wheat flour,ground almonds,3
butter,bread flour,wheat flour,sugar syrup,3
vegetables,carrots,onion,milk,3
vegetables,carrots,onion,Attika vinegar,3
vegetables,carrots,onion,bay leaf,3
vegetables,carrots,onion,cabbage,3
vegetables,carrots,onion,broccoli,3
vegetables,carrots,onion,swede,3
vegetables,carrots,onion,pork,3
vegetables,carrots,onion,cabbage,3
vegetables,carrots,onion,beef,3
vegetables,carrots,onion,lamb shoulder,3
vegetables,carrots,onion,parsley butter,3
vegetables,carrots,onion,lamb stock,3
vegetables,carrots,onion,meat and bones,3
peppercorns,vinegar,white vinegar,coarse salt,3
peppercorns,vinegar,white vinegar,cooked fish,3
bay leaf,onion,thyme,plain flour,3
bay leaf,onion,thyme,fennel,3
bay leaf,onion,thyme,lemon,3
bay leaf,onion,thyme,flour,3
bay leaf,onion,thyme,lamb,3
bay leaf,onion,thyme,cloves,3
bay leaf,onion,thyme,garlic,3
bay leaf,onion,thyme,whole fish,3
bay leaf,onion,thyme,fennel bulb,3
bay leaf,onion,thyme,white vinegar,3
bay leaf,onion,thyme,fish stock,3
vinegar,onion,white vinegar,meat stock,3
vinegar,mustard,white vinegar,cream,3
vinegar,mustard,white vinegar,flour,3
vinegar,mustard,white vinegar,parsley,3
vinegar,mustard,white vinegar,black pepper,3
vinegar,mustard,white vinegar,coarse rye flour,3
vinegar,mustard,white vinegar,parsley butter,3
vinegar,mustard,white vinegar,rye flour,3
flour,coarse rye flour,coarse salt,egg,3
flour,coarse rye flour,coarse salt,cream,3
flour,coarse rye flour,coarse salt,golden syrup,3
flour,coarse rye flour,coarse salt,carrots,3
flour,coarse rye flour,coarse salt,vinegar,3
flour,coarse rye flour,coarse salt,parsley,3
flour,coarse rye flour,coarse salt,mustard,3
flour,coarse rye flour,coarse salt,white vinegar,3
flour,coarse rye flour,coarse salt,parsley butter,3
flour,coarse rye flour,coarse salt,yeast,3
flour,coarse salt,rye flour,egg,3
flour,coarse salt,rye flour,cream,3
flour,coarse salt,rye flour,golden syrup,3
flour,coarse salt,rye flour,carrots,3
flour,coarse salt,rye flour,vinegar,3
flour,coarse salt,rye flour,parsley,3
flour,coarse salt,rye flour,mustard,3
flour,coarse salt,rye flour,white vinegar,3
flour,coarse salt,rye flour,parsley butter,3
flour,coarse salt,rye flour,yeast,3
flour,rye flour,wheat flour,hard cheese,3
flour,rye flour,wheat flour,caraway,3
flour,rye flour,wheat flour,dry flatbread,3
flour,rye flour,wheat flour,plain flour,3
flour,rye flour,wheat flour,aniseeds,3
flour,rye flour,wheat flour,onion,3
flour,rye flour,wheat flour,potatoes,3
flour,rye flour,wheat flour,coarse rye flour,3
flour,rye flour,wheat flour,floury potatoes,3
flour,rye flour,wheat flour,pork,3
flour,rye flour,wheat flour,caraway,3
onion,pork,beef,egg,3
onion,pork,beef,broth,3
onion,pork,beef,nutmeg,3
onion,pork,beef,plain flour,3
onion,pork,beef,pork stock,3
onion,pork,beef,lamb,3
onion,pork,beef,allspice berries,3
onion,pork,beef,mustard,3
onion,pork,beef,pearl barley,3
onion,pork,beef,pork back fat,3
onion,pork,beef,pearl barley,3
onion,pork,beef,mutton,3
onion,pork,beef,white bread,3
coarse rye flour,coarse salt,rye flour,egg,3
coarse rye flour,coarse salt,rye flour,cream,3
coarse rye flour,coarse salt,rye flour,golden syrup,3
coarse rye flour,coarse salt,rye flour,carrots,3
coarse rye flour,coarse salt,rye flour,vinegar,3
coarse rye flour,coarse salt,rye flour,parsley,3
coarse rye flour,coarse salt,rye flour,mustard,3
coarse rye flour,coarse salt,rye flour,white vinegar,3
coarse rye flour,coarse salt,rye flour,parsley butter,3
coarse rye flour,coarse salt,rye flour,yeast,3
egg,cream,egg yolks,milk,3
egg,cream,egg yolks,vegetables,3
egg,cream,egg yolks,carrots,3
egg,cream,egg yolks,lemon,3
egg,cream,egg yolks,meat stock,3
egg,cream,egg yolks,chives,3
egg,cream,egg yolks,dill,3
egg,cream,egg yolks,parsley butter,3
egg,sugar,egg yolks,milk,3
egg,sugar,egg yolks,sugar juice,3
egg,sugar,egg yolks,zest,3
egg,sugar,egg yolks,lemon,3
egg,sugar,egg yolks,dill,3
egg,sugar,egg yolks,icing sugar,3
egg,sugar,egg yolks,flaked almonds,3
egg,sugar,baking powder,plain flour,3
egg,sugar,baking powder,brown sugar,3
egg,sugar,baking powder,baker ammonia,3
egg,sugar,baking powder,icing sugar,3
egg,sugar,baking powder,soft fruit,3
egg,vinegar,white vinegar,vegetables,3
egg,vinegar,white vinegar,carrots,3
egg,vinegar,white vinegar,cooked fish,3
egg,flour,cardamom,cheese,3
egg,baking powder,wheat flour,plain flour,3
egg,baking powder,wheat flour,brown sugar,3
egg,baking powder,wheat flour,baker ammonia,3
egg,baking powder,wheat flour,egg whites,3
egg,baking powder,wheat flour,soft fruit,3
cream,butter,pork,lamb,3
cream,butter,pork,liver,3
cream,butter,pork,pork liver,3
cream,vegetables,onion,egg,3
cream,vegetables,onion,sugar,3
cream,vegetables,onion,Attika vinegar,3
cream,vegetables,onion,plain flour,3
cream,vegetables,onion,flour,3
cream,vegetables,onion,lamb,3
cream,vegetables,onion,broccoli,3
cream,vegetables,onion,garlic,3
cream,vegetables,onion,thyme,3
cream,vegetables,onion,chicken,3
cream,onion,beef,potato starch,3
cream,onion,beef,carrots,3
cream,onion,beef,nutmeg,3
cream,onion,beef,lamb,3
cream,onion,beef,allspice berries,3
cream,onion,beef,mustard sauce,3
cream,onion,beef,brown mustard,3
hard cheese,butter,cheese,caraway,3
hard cheese,butter,cheese,sugar,3
hard cheese,butter,cheese,golden syrup,3
hard cheese,butter,cheese,vegetables,3
hard cheese,butter,cheese,plain flour,3
hard cheese,butter,cheese,white fish,3
hard cheese,butter,cheese,cooked fish,3
hard cheese,butter,cheese,yeast,3
hard cheese,butter,cheese,caraway,3
hard cheese,butter,cheese,rye dough,3
hard cheese,butter,cheese,salted butter,3
hard cheese,milk,cheese,sugar,3
hard cheese,milk,cheese,carrots,3
hard cheese,milk,cheese,plain flour,3
hard cheese,milk,cheese,cauliflower,3
hard cheese,milk,cheese,dill,3
hard cheese,milk,cheese,white fish,3
hard cheese,milk,cheese,rye flour,3
butter,milk,white fish,hard cheese,3
butter,milk,white fish,onion,3
butter,milk,white fish,mustard,3
butter,milk,white fish,coarse salt,3
butter,milk,white fish,bread flour,3
butter,milk,white fish,dill fronds,3
butter,milk,white fish,brown cheese,3
butter,milk,bread flour,coarse rye flour,3
butter,milk,bread flour,white fish,3
butter,sugar,zest,plain flour,3
butter,sugar,zest,vinegar,3
butter,vanilla sugar,baking powder,potato starch,3
butter,vanilla sugar,baking powder,plain flour,3
butter,vanilla sugar,baking powder,soft fruit,3
butter,broth,plain flour,carrots,3
butter,broth,plain flour,nutmeg,3
butter,broth,plain flour,vinegar,3
butter,broth,plain flour,parsley,3
butter,broth,plain flour,mushroom soy sauce,3
butter,broth,plain flour,white vinegar,3
butter,broth,plain flour,parsley butter,3
butter,broth,beef,potato starch,3
butter,broth,beef,carrots,3
butter,broth,beef,lamb,3
butter,broth,beef,parsley,3
butter,broth,beef,allspice berries,3
butter,broth,beef,mushroom soy sauce,3
butter,broth,beef,cloves,3
butter,broth,beef,breadcrumbs,3
butter,broth,beef,pearl barley,3
butter,broth,beef,braising beef,3
butter,broth,beef,parsley butter,3
butter,broth,beef,pearl barley,3
butter,brown sugar,flour,egg,3
butter,brown sugar,flour,cream,3
butter,brown sugar,flour,cassia cinnamon,3
butter,brown sugar,flour,yeast,3
butter,lemon,white fish,cream,3
butter,flour,coarse salt,egg,3
butter,flour,coarse salt,plain flour,3
butter,flour,coarse salt,peppercorns,3
butter,flour,coarse salt,onion,3
butter,flour,coarse salt,parsley,3
butter,flour,coarse salt,white vinegar,3
butter,flour,coarse salt,baking powder,3
butter,flour,coarse salt,parsley butter,3
butter,flour,coarse salt,bread flour,3
butter,flour,pork,carrots,3
butter,flour,pork,broth,3
butter,flour,pork,pork stock,3
butter,flour,pork,cheese,3
butter,flour,pork,dried marjoram,3
butter,flour,pork,black pepper,3
butter,flour,pork,minced beef,3
butter,flour,pork,cloves,3
butter,flour,pork,pork belly,3
butter,flour,pork,pork belly,3
butter,flour,pork,dried marjoram,3
butter,flour,pork,fried salt pork,3
butter,flour,pork,pork back fat,3
butter,flour,pork,beer,3
butter,flour,pork,salt pork fried,3
butter,flour,pork,salted butter,3
butter,flour,pork,brown cheese,3
butter,flour,beef,potatoes,3
butter,flour,beef,ginger,3
milk,sugar,zest,oil,3
milk,sugar,zest,breadcrumbs,3
milk,sugar,zest,orange,3
milk,sugar,zest,icing sugar,3
milk,sugar,yeast,brown sugar,3
milk,sugar,yeast,bread flour,3
milk,sugar,yeast,pastry,3
milk,vanilla sugar,flour,pastry,3
milk,flour,pastry,vanilla sugar,3
milk,flour,pastry,oil,3
milk,flour,pastry,cheese,3
sugar,ground cinnamon,flour,plain flour,3
sugar,ground cinnamon,flour,pork,3
sugar,ground cinnamon,flour,blood,3
sugar,ground cinnamon,flour,bread flour,3
sugar,ground cinnamon,flour,fried salt pork,3
sugar,ground cinnamon,flour,salt pork fried,3
sugar,ground cinnamon,flour,pearl sugar,3
sugar,ground cinnamon,flour,bicarbonate of soda,3
sugar,plain flour,baking powder,egg,3
sugar,plain flour,baking powder,cream,3
sugar,plain flour,baking powder,oil,3
sugar,lemon,baking powder,oil,3
sugar,lemon,baking powder,vinegar,3
cinnamon stick,cassia cinnamon,cassia cinnamon stick,zest,3
cinnamon stick,cassia cinnamon,cassia cinnamon stick,brown sugar,3
zest,lemon,flour,vinegar,3
zest,lemon,flour,icing sugar,3
vegetables,carrots,potatoes,firm potatoes,3
vegetables,carrots,potatoes,peppercorns,3
vegetables,carrots,potatoes,flour,3
vegetables,carrots,potatoes,lamb,3
vegetables,carrots,potatoes,parsley,3
vegetables,carrots,potatoes,leek,3
vegetables,carrots,potatoes,fresh peas,3
vegetables,carrots,potatoes,thyme,3
vegetables,carrots,potatoes,floury potatoes,3
vegetables,carrots,potatoes,beef,3
vegetables,carrots,potatoes,pork shoulder,3
vegetables,carrots,potatoes,parsley butter,3
vegetables,onion,thyme,cream,3
vegetables,onion,thyme,plain flour,3
vegetables,onion,thyme,flour,3
vegetables,onion,thyme,leek,3
vegetables,onion,thyme,potatoes,3
vegetables,onion,thyme,whole fish,3
vegetables,onion,thyme,white vinegar,3
vegetables,onion,thyme,fish stock,3
vegetables,onion,thyme,celeriac,3
vegetables,onion,thyme,cooked fish,3
vegetables,onion,thyme,lamb shoulder,3
vegetables,onion,thyme,mutton,3
broth,meat stock,beef,milk,3
broth,meat stock,beef,potato starch,3
broth,meat stock,beef,nutmeg,3
broth,meat stock,beef,peppercorns,3
broth,meat stock,beef,allspice berries,3
broth,meat stock,beef,mushroom soy sauce,3
broth,meat stock,beef,cloves,3
broth,meat stock,beef,potatoes,3
broth,meat stock,beef,ginger,3
broth,meat stock,beef,breadcrumbs,3
plain flour,flour,baking powder,egg,3
plain flour,flour,baking powder,cream,3
plain flour,flour,baking powder,oil,3
plain flour,flour,wheat flour,cream,3
plain flour,flour,wheat flour,dry flatbread,3
plain flour,flour,wheat flour,lemon,3
plain flour,flour,wheat flour,bread flour,3
plain flour,flour,wheat flour,rye flour,3
plain flour,flour,wheat flour,rye dough,3
plain flour,flour,wheat flour,cardamom,3
plain flour,flour,wheat flour,icing sugar,3
plain flour,flour,wheat flour,pastry,3
lemon,vinegar,white vinegar,cream,3
lemon,vinegar,white vinegar,egg yolks,3
lemon,vinegar,white vinegar,vegetables,3
lemon,vinegar,white vinegar,plain flour,3
lemon,vinegar,white vinegar,bay leaf,3
lemon,vinegar,white vinegar,parsley,3
lemon,vinegar,white vinegar,cooked fish,3
vinegar,flour,white vinegar,allspice berries,3
vinegar,flour,white vinegar,mustard,3
vinegar,flour,white vinegar,coarse rye flour,3
vinegar,flour,white vinegar,coarse salt,3
vinegar,flour,white vinegar,cooked fish,3
vinegar,flour,white vinegar,parsley butter,3
vinegar,flour,white vinegar,rye flour,3
flour,potatoes,floury potatoes,rye dough,3
flour,potatoes,floury potatoes,salted butter,3
flour,wheat flour,pastry,oil,3
flour,wheat flour,pastry,plain flour,3
flour,wheat flour,pastry,icing sugar,3
egg,butter,breadcrumbs,plain flour,3
egg,butter,breadcrumbs,onion,3
egg,butter,breadcrumbs,minced beef,3
egg,butter,breadcrumbs,beef,3
egg,milk,plain flour,egg yolks,3
egg,milk,plain flour,oil,3
egg,milk,plain flour,onion,3
egg,milk,plain flour,pastry,3
egg,milk,cardamom,ground cinnamon,3
egg,milk,cardamom,lemon,3
egg,milk,cardamom,cheese,3
egg,sugar,icing sugar,cream,3
egg,sugar,icing sugar,milk,3
egg,sugar,icing sugar,egg yolks,3
egg,sugar,icing sugar,oil,3
egg,sugar,icing sugar,baking powder,3
egg,sugar,icing sugar,cardamom,3
egg,sugar,icing sugar,ground almonds,3
cream,milk,cheese,sugar,3
cream,milk,cheese,nutmeg,3
cream,milk,cheese,onion,3
cream,milk,cheese,potatoes,3
cream,milk,cheese,garlic,3
cream,milk,cheese,rye flour,3
cream,milk,cheese,wheat flour,3
cream,milk,onion,hard cheese,3
cream,milk,onion,cheese,3
cream,milk,onion,lamb,3
cream,milk,onion,meat stock,3
cream,milk,onion,potatoes,3
cream,broth,meat stock,egg,3
cream,broth,meat stock,milk,3
cream,broth,meat stock,egg yolks,3
cream,broth,meat stock,carrots,3
cream,broth,meat stock,vinegar,3
cream,broth,meat stock,cheese,3
cream,broth,meat stock,lamb,3
cream,broth,meat stock,mushroom soy sauce,3
cream,broth,meat stock,ginger,3
cream,broth,meat stock,breadcrumbs,3
cream,broth,meat stock,thyme,3
cream,broth,meat stock,white vinegar,3
cream,broth,meat stock,lamb stock,3
cream,broth,meat stock,mutton,3
cream,flour,onion,egg,3
cream,flour,onion,egg yolks,3
cream,flour,onion,vegetables,3
cream,flour,onion,carrots,3
cream,flour,onion,lamb,3
cream,flour,onion,minced beef,3
cream,flour,onion,breadcrumbs,3
cream,flour,onion,thyme,3
cream,flour,onion,lamb stock,3
cream,flour,onion,mutton,3
cream,flour,onion,wheat flour,3
cream,minced beef,beef,vegetables,3
cream,minced beef,beef,lamb,3
cream,minced beef,beef,mutton,3
butter,milk,lemon,plain flour,3
butter,milk,lemon,cardamom,3
butter,sugar,yeast,brown sugar,3
butter,sugar,yeast,bread flour,3
butter,sugar,yeast,pastry,3
butter,golden syrup,wheat flour,hard cheese,3
butter,golden syrup,wheat flour,ground cinnamon,3
butter,golden syrup,wheat flour,aniseeds,3
butter,golden syrup,wheat flour,cheese,3
butter,golden syrup,wheat flour,orange,3
butter,golden syrup,wheat flour,baker ammonia,3
butter,golden syrup,wheat flour,cardamom,3
butter,golden syrup,wheat flour,bicarbonate of soda,3
butter,zest,lemon,vinegar,3
butter,zest,lemon,icing sugar,3
butter,zest,flour,plain flour,3
butter,zest,flour,vinegar,3
butter,zest,flour,icing sugar,3
butter,carrots,flour,egg,3
butter,carrots,flour,hard cheese,3
butter,carrots,flour,cheese,3
butter,carrots,flour,lamb,3
butter,carrots,flour,meat stock,3
butter,carrots,flour,cloves,3
butter,carrots,flour,cauliflower,3
butter,carrots,flour,potatoes,3
butter,carrots,flour,ginger,3
butter,carrots,flour,garlic,3
butter,carrots,flour,coarse rye flour,3
butter,carrots,flour,strong unsweetened mustard,3
butter,carrots,flour,pork,3
butter,carrots,flour,mutton,3
butter,vinegar,flour,milk,3
butter,vinegar,flour,sugar juice,3
butter,vinegar,flour,zest,3
butter,vinegar,flour,vegetables,3
butter,vinegar,flour,parsley,3
butter,vinegar,flour,allspice berries,3
butter,vinegar,flour,mustard,3
butter,vinegar,flour,coarse rye flour,3
butter,vinegar,flour,white fish,3
butter,vinegar,flour,parsley butter,3
butter,vinegar,flour,rye flour,3
butter,flour,rye dough,hard cheese,3
butter,flour,rye dough,caraway,3
butter,flour,rye dough,buttermilk,3
butter,flour,rye dough,aniseeds,3
butter,flour,rye dough,potatoes,3
butter,flour,rye dough,caraway,3
butter,cheese,brown cheese,cream,3
butter,cheese,brown cheese,plain flour,3
butter,cheese,brown cheese,meat stock,3
